N¯ chambre;Chambre;Nom de l'entitÇ;Nature juridique;Sigle
3;Troisiäme chambre;Chancellerie de l'universitÇ de Limoges ;EPA;
3;Troisiäme chambre;Institut national polytechnique de Grenoble;EPSCP;IPG
3;Troisiäme chambre;UniversitÇ Stendhal de Grenoble III ;EPSCP;UNIVERSITE
3;Troisiäme chambre;Institut d'Çtudes politiques de Grenoble;EPA;IEP
3;Troisiäme chambre;UniversitÇ Pierre Mendäs France Grenoble II ;EPSCP;UNIVERSITE
3;Troisiäme chambre;UniversitÇ Joseph Fournier Grenoble I ;EPSCP;UNIVERSITE
3;Troisiäme chambre;Centre rÇgional des ?uvres universitaires et scolaires de Grenoble;EPA;CROUS
3;Troisiäme chambre;UniversitÇ Paul ValÇry de Montpellier III ;EPSCP;UNIVERSITE
3;Troisiäme chambre;Ecole nationale supÇrieure de chimie de Montpellier;EPA;ENSCM
3;Troisiäme chambre;Chancellerie de l'universitÇ de Montpellier ;EPA;
3;Troisiäme chambre;Centre rÇgional des ?uvres universitaires et scolaires de montpellier;EPA;CROUS
3;Troisiäme chambre;UniversitÇ de Saint-êtienne ;EPSCP;UNIVERSITE
3;Troisiäme chambre;UniversitÇ de Perpignan;EPSCP;UNIVERSITE
3;Troisiäme chambre;UniversitÇ de Valenciennes et du Hainaut Cambresis;EPSCP;UNIVERSITE
3;Troisiäme chambre;UniversitÇ de Savoie Mont Blanc;EPSCP;UNIVERSITE
3;Troisiäme chambre;Centre national d'enseignement Ö distance;EPA;CNED
3;Troisiäme chambre;Institut franáais d'archÇologie orientale du Caire;EPSCP;IFAO
3;Troisiäme chambre;Ecole franáaise d'Extràme Orient;EPSCP;EFEO
3;Troisiäme chambre;Ecole franáaise de Rome;EPSCP;EFR
3;Troisiäme chambre;Casa de Velasquez Ö Madrid;EPSCP;ECV
3;Troisiäme chambre;ThÇÉtre national de Chaillot;EPIC;TNCHA
3;Troisiäme chambre;RÇunion des musÇes nationaux et du Grand Palais des champs-ElysÇes;EPIC;RMN
3;Troisiäme chambre;MusÇe Jean-Jacques Henner;EPA;MJJH
3;Troisiäme chambre;MusÇe Gustave Moreau;EPA;MGM
3;Troisiäme chambre;MusÇe Rodin;EPA;MR
3;Troisiäme chambre;Bibliothäque publique d'information;EPA;BPI
3;Troisiäme chambre;Centre national d'art et de culture Georges Pompidou et de la Bibliothäque publique de l'information ;EPA;CNAC
3;Troisiäme chambre;AcadÇmie de France Ö Rome;EPA;AFR
3;Troisiäme chambre;Conservatoire national des arts et mÇtiers;EPSCP;CNAM
3;Troisiäme chambre;Ecole des hautes Çtudes des sciences sociales;EPSCP;EHESS
3;Troisiäme chambre;Ecole pratique des hautes Çtudes;EPSCP;EPHE
3;Troisiäme chambre;Ecole nationale supÇrieure de cÇramique industrielle;EPA;ENSCI
3;Troisiäme chambre;Ecole centrale des arts et manufactures;EPSCP;ECAM
3;Troisiäme chambre;Ecole centrale de Lyon;EPSCP;ECL
3;Troisiäme chambre;Ecole nationale supÇrieure des sciences de l'information et des bibliothäques;EPSCP;ENSSIB
3;Troisiäme chambre;Ecole nationale supÇrieure des arts et industries textiles de Roubaix;EPSCP;ENSAIT
3;Troisiäme chambre;Centre de coopÇration internationale en recherche agronomique pour le dÇveloppement;EPIC;CIRAD
3;Troisiäme chambre;Ecole nationale supÇrieure de crÇation industrielle;EPIC;ENSCI
3;Troisiäme chambre;Ecole nationale supÇrieure des arts dÇcoratifs;EPA;ENSAD
3;Troisiäme chambre;Ecole nationale supÇrieure des beaux-arts ;EPA;ENSBA
4;Quatriäme chambre;Institut rÇgional d'administration de Lyon;EPA;IRA
4;Quatriäme chambre;Institut rÇgional d'administration de Metz;EPA;IRA
4;Quatriäme chambre;Institut rÇgional d'administration de Nantes;EPA;IRA
4;Quatriäme chambre;Institut rÇgional d'administration de Bastia;EPA;IRA
4;Quatriäme chambre;Institut rÇgional d'administration de Lille;EPA;IRA
4;Quatriäme chambre;Ecole nationale d'administration;EPA;ENA
3;Troisiäme chambre;Conservatoire national supÇrieur de musique et de la danse de Paris;EPA;CNSMP
4;Quatriäme chambre;Office universitaire et culturel franáais en AlgÇrie;EPA;OUCFA
4;Quatriäme chambre;Office franáais pour la protection des rÇfugiÇs et apatrides;EPA;OFPRA
3;Troisiäme chambre;Centre national des arts plastiques;EPA;CNAP
3;Troisiäme chambre;Centre national du cinÇma et de l'image animÇe ;EPA;CNC
3;Troisiäme chambre;MusÇum national d'histoire naturelle;EPSCP;MNHN
3;Troisiäme chambre;Observatoire de Paris ;EPSCP;OP
3;Troisiäme chambre;Institut de France-domaine de Chantilly;;IFDC
3;Troisiäme chambre;Institut de France et des acadÇmies (fondations de France);Personne publique;IF
